CD,Region,Population,Median_Total_Income,Median_After_Tax_Income
3501,"Stormont, Dundas and Glengarry (UC)",114637,66000,73500
3502,Prescott and Russell (UC),95639,83000,95000
3506,Ottawa (CDR),1017449,88000,102000
3507,Leeds and Grenville (UC),104070,72500,82000
3509,Lanark (CTY),75760,77000,88000
3510,Frontenac (CTY),161780,72000,81000
3511,Lennox and Addington (CTY),45182,75500,85000
3512,Hastings (CTY),145746,67500,75000
3513,Prince Edward (CDR),25704,72000,81000
3514,Northumberland (CTY),89365,74500,84000
3515,Peterborough (CTY),147681,70500,78500
3516,Kawartha Lakes (CDR),79247,72500,82000
3518,Durham (RM),696992,93000,107000
3519,York (RM),1173334,97000,112000
3520,Toronto (CDR),2794356,74000,84000
3521,Peel (RM),1451022,94000,107000
3522,Dufferin (CTY),66257,93000,108000
3523,Wellington (CTY),241026,85000,97000
3524,Halton (RM),596637,103000,121000
3525,Hamilton (CDR),569353,75500,86000
3526,Niagara (RM),477941,71000,79000
3528,Haldimand-Norfolk (CDR),116872,75500,86000
3529,Brant (CDR),144771,75500,85000
3530,Waterloo (RM),587165,81000,92000
3531,Perth (CTY),81565,74500,84000
3532,Oxford (CTY),121781,76500,87000
3534,Elgin (CTY),94752,73500,83000
3536,Chatham-Kent (CDR),104316,65000,71500
3537,Essex (CTY),422860,73000,82000
3538,Lambton (CTY),128154,73000,83000
3539,Middlesex (CTY),500563,71000,79500
3540,Huron (CTY),61366,70000,78500
3541,Bruce (CTY),73396,76000,87000
3542,Grey (CTY),100905,70000,78000
3543,Simcoe (CTY),533169,82000,93000
3544,Muskoka (DM),66674,73000,83000
3546,Haliburton (CTY),20571,66000,73500
3547,Renfrew (CTY),106365,71500,80000
3548,Nipissing (DIS),84716,65000,72500
3549,Parry Sound (DIS),46909,65500,72500
3551,Manitoulin (DIS),13935,59600,63600
3552,Sudbury (DIS),22368,67500,76000
3553,Greater Sudbury / Grand Sudbury (CDR),166128,74000,84000
3554,Timiskaming (DIS),31424,63200,70500
3556,Cochrane (DIS),77963,70000,78500
3557,Algoma (DIS),113777,63600,70000
3558,Thunder Bay (DIS),146862,70500,79500
3559,Rainy River (DIS),19437,69500,78000
3560,Kenora (DIS),66000,71500,78500
